,Open,High,Low,Close,Volume,Dividends,Stock Splits,compound
2021-03-11,233.13333129882807,234.1666717529297,225.72666931152344,233.1999969482422,108761700,0.0,0.0,0.5445885275849458
2021-03-12,223.3333282470703,231.6266632080078,222.04666137695312,231.2433319091797,100751400,0.0,0.0,0.5868201456310665
2021-03-15,231.3633270263672,237.72666931152344,228.01333618164065,235.97999572753903,88006800,0.0,0.0,0.5002256299496034
2021-03-16,234.4499969482422,235.97332763671875,223.6666717529297,225.6266632080078,96587100,0.0,0.0,0.586990232858991
2021-03-17,218.9566650390625,234.57666015625,217.0033264160156,233.9366607666016,121117500,0.0,0.0,0.5419832907075861
2021-03-18,228.0966644287109,229.7433319091797,217.3333282470703,217.72000122070312,99674400,0.0,0.0,0.5898820155038754
2021-03-19,215.5333404541016,219.07666015625,208.2066650390625,218.2899932861328,128682000,0.0,0.0,0.5775137585661567
2021-03-22,228.19667053222656,233.2066650390625,222.9166717529297,223.3333282470703,118536600,0.0,0.0,0.5541084805653703
2021-03-23,225.2566680908203,225.93333435058597,219.1699981689453,220.72000122070312,91475700,0.0,0.0,0.595548012618296
2021-03-24,222.6366729736328,222.67333984375,210.0366668701172,210.08999633789065,101385600,0.0,0.0,0.6158573088092909
2021-03-25,204.3333282470703,215.1666717529297,203.1666717529297,213.4633331298828,117674700,0.0,0.0,0.6411580864497316
2021-03-26,213.9566650390625,214.60667419433597,199.9633331298828,206.23666381835935,101558400,0.0,0.0,0.6197302019315177
2021-03-29,205.2133331298828,205.4933319091797,198.67333984375,203.76333618164065,85911000,0.0,0.0,0.5904335045662098
2021-03-30,200.5833282470703,212.55332946777344,197.0033264160156,211.8733367919922,118297200,0.0,0.0,0.5929907877744282
2021-03-31,215.5399932861328,224.0,213.70333862304688,222.6433258056641,100011900,0.0,0.0,0.6077182752457545
2021-04-01,229.4566650390625,230.80667114257807,219.80667114257807,220.5833282470703,105895200,0.0,0.0,0.6148717207647842
2021-04-05,235.90333557128903,236.05332946777344,228.23333740234372,230.3500061035156,125528400,0.0,0.0,0.5567843057607081
2021-04-06,230.1000061035156,232.18333435058597,227.1233367919922,230.5399932861328,84815400,0.0,0.0,0.5765131257631243
2021-04-07,229.0,230.4600067138672,222.6133270263672,223.6566619873047,78928200,0.0,0.0,0.5667826935588807
2021-04-08,225.7933349609375,229.8500061035156,223.88333129882807,227.93333435058597,71772900,0.0,0.0,0.5319591331269347
2021-04-09,225.92333984375,226.9900054931641,223.1433258056641,225.67333984375,64311300,0.0,0.0,0.622160538116592
2021-04-12,228.5666656494141,234.93333435058597,227.3633270263672,233.9933319091797,87407100,0.0,0.0,0.5573643916913947
2021-04-13,237.5666656494141,254.3333282470703,236.8866729736328,254.10667419433597,133958400,0.0,0.0,0.5404397900440217
2021-04-14,256.8999938964844,260.2633361816406,242.6766662597656,244.07666015625,147052200,0.0,0.0,0.5778050000000006
2021-04-15,247.6999969482422,247.89666748046875,240.4366607666016,246.2833404541016,83546700,0.0,0.0,0.5941101145989026
2021-04-16,242.88333129882807,249.80332946777344,241.5333404541016,246.5933380126953,83938500,0.0,0.0,0.6134108365019012
2021-04-19,239.86666870117188,241.8000030517578,230.6000061035156,238.2100067138672,119058600,0.0,0.0,0.5477132068452356
2021-04-20,239.13999938964844,245.75,236.89666748046875,239.663330078125,106827000,0.0,0.0,0.5656560061601632
2021-04-21,234.92333984375,248.27999877929688,232.6666717529297,248.0399932861328,93646500,0.0,0.0,0.5477902762430928
2021-04-22,247.1666717529297,251.2566680908203,239.3466644287109,239.89666748046875,106770900,0.0,0.0,0.5608490069284064
