Word,Sentiment_Score,scaling_to_range,log_scaling,Z-score,Normalizer
good,-16.983788805676255,0.8650085126001524,-2.8894707301857117,-0.11655236354404959,-0.032487579335591474
luck,-2.246941980953113,0.8922674935641026,-1.1777136244526307,-0.013834749720563713,-0.004298081347095432
bulls,-51.93551377778443,0.8003577486339047,-3.9690744515720717,-0.3601701354358425,-0.09934527233561492
make,3.796769426494757,0.9034466430909096,1.5679426551764173,0.028290653480978308,0.007262681453090828
pop,1.7448613512200757,0.8996511959488621,1.0097305641120995,0.013988604760232613,0.0033376723077493792
friday,3.2221446783144367,0.9023837505156959,1.4403432165591452,0.024285449133058867,0.006163505803399327
spy,-34.299778226762996,0.8329788503789577,-3.5638766813915557,-0.2372469147924758,-0.06561061133560099
amzn,12.863799403572738,0.9202180732675531,2.6292810834376503,0.09148895463648775,0.024606623908384334
msft,4.363857352772194,0.9044955946862637,1.6796833716229034,0.032243325264036046,0.008347440231358073
sndl,1.0188085209986812,0.8983082044315298,0.7025074962986615,0.008927928272436436,0.0019488362127218148
share,4.255913820023468,0.904295929809552,1.6593538845531115,0.03149094571883882,0.008140959561817115
sabby,0.2547021302496703,0.8968948246354586,0.22689819799802402,0.0036020138418581668,0.0004872090531804537
believe,2.930360480461882,0.901844032624247,1.368731146983028,0.022251677803866988,0.005605364013892463
trying,0.9152014909911604,0.8981165608532056,0.649822834325425,0.008205774678503645,0.0017506506579197327
ruin,0.2547021302496703,0.8968948246354586,0.22689819799802402,0.0036020138418581668,0.0004872090531804537
us,4.858493194307045,0.9054105305031894,1.7678924364469901,0.0356909972089459,0.009293608446704687
nakd,0.2547021302496703,0.8968948246354586,0.22689819799802402,0.0036020138418581668,0.0004872090531804537
stop,1.5159972002582245,0.8992278622731713,0.9226692260626245,0.012393393806617978,0.0028998876445910067
dude,0.2547021302496703,0.8968948246354586,0.22689819799802402,0.0036020138418581668,0.0004872090531804537
listened,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
entire,-0.1114471718803382,0.8962175524227909,-0.10566292461993093,0.001049908695807995,-0.00021318263431182726
earnings,3.8143935376461378,0.903479242690817,1.5716100845959122,0.028413495678143087,0.007296393878262907
call,3.8309673990759743,0.9035098996270388,1.5750467372729473,0.028529017507077196,0.007328097324664628
media,0.5687909381716335,0.8974757997204252,0.450305219603124,0.005791251014648918,0.0010880163984988195
dissects,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
information,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
see,3.464497246746401,0.9028320339326319,1.4961566092757392,0.025974675996132547,0.00662709189624372
stock,-30.70755463375663,0.8396234437376766,-3.4565549690126547,-0.21220867966778015,-0.05873919705317811
continue,-0.7647952829217267,0.8950090439858414,-0.5680346966450603,-0.003504007061100478,-0.001462944912568724
fulls,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
team,2.6993109491818448,0.9014166566156745,1.3081465723563754,0.020641234483773228,0.005163399028117161
ahead,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
beginning,0.2696216324716298,0.8969224214770284,0.2387189288936856,0.0037060045860045263,0.0005157479450395804
tesla,-73.81920955475934,0.7598791270060623,-4.315074664239218,-0.5127021552488521,-0.14120567879997287
aapl,18.093110481069303,0.9298908134955992,2.9493275621844597,0.12793788853732987,0.03460955437604758
qqq,-4.17667038445463,0.8886980441125149,-1.6441620666740626,-0.027285191276524214,-0.007989378107918733
need,6.140656058171296,0.9077821676325192,1.965804657028275,0.04462782823363134,0.011746204168279926
great,9.84211530720347,0.9146288159290147,2.3834381160152645,0.07042744915983987,0.01882657076882324
leader,0.491528144018539,0.8973328854959586,0.39980119440143524,0.0052527199471055636,0.0009402236307331711
abml,0.9531113258890034,0.8981866832803514,0.6694236527732909,0.008470010836174498,0.0018231667956870152
expect,1.0066801598080906,0.8982857704081088,0.6964816947868687,0.008843392120578166,0.0019256363778146393
interesting,0.3160446081668279,0.8970082907966879,0.27463072911194625,0.004029578369915795,0.000604548513814195
news,-5.548380088477405,0.8861607707626084,-1.8792177043235538,-0.03684617466269621,-0.010613264235138283
next,-8.633234802709074,0.880454665723183,-2.2652190783054857,-0.05834798702505422,-0.01651415380778062
week,18.95508985437784,0.93148523051084,2.9934842413408647,0.13394598955408044,0.03625839867082857
exec,0.3160446081668279,0.8970082907966879,0.27463072911194625,0.004029578369915795,0.000604548513814195
board,0.0676442988106865,0.8965488207767636,0.06545463151530607,0.002298198017419127,0.00012939395027558045
engineer,0.3160446081668279,0.8970082907966879,0.27463072911194625,0.004029578369915795,0.000604548513814195
looking,7.699383151441922,0.9106653700345537,2.1632521210137505,0.0554923455572539,0.014727828038228244
forward,2.460659286334702,0.9009752188229134,1.241459116101645,0.0189778033825189,0.004706892242792197
beyond,-0.0175336130127745,0.8963912658327133,-0.017381672690962385,0.0017044976175279467,-3.3539315067418456e-05
personally,0.8510812644253511,0.8979979566459318,0.6157699356127153,0.007758848904693483,0.0016279977580628633
uwmc,0.3322234762323254,0.8970382171073744,0.2868493329947479,0.0041423470470838926,0.000635496393928098
ready,6.027525262450572,0.9075729077926318,1.949834618591174,0.043839292834940084,0.01152980100033384
loaded,1.1057948673404527,0.8984691044657948,0.7446930050458014,0.009534233680758945,0.0021152287568252277
heavy,0.3322234762323254,0.8970382171073744,0.2868493329947479,0.0041423470470838926,0.000635496393928098
today,9.454479067026396,0.9139117989838296,2.3470305054341987,0.06772557744358522,0.018085077616135533
wsb,-0.1177957773361083,0.8962058093058729,-0.11135869019031198,0.001005658144025815,-0.00022532661618622312
pltr,3.035686930085397,0.9020388566404992,1.395176530128244,0.022985815961541044,0.005806838574570967
nok,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
funny,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
thing,4.863796268722179,0.9054203396846413,1.7687972212663094,0.03572796028227697,0.009303752475976097
ppl,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
hours,-0.0481591853792184,0.8963346172223235,-0.04703546880987628,0.0014910336551976805,-9.212169166999464e-05
hedge,0.9314767385217751,0.8981466654385282,0.6582848598323028,0.008319215132259786,0.0017817828982818196
funds,-0.7676021566288618,0.895003852066711,-0.5696239143624463,-0.00352357131205117,-0.0014683140638982
look,-3.3458900435951566,0.8902347517790911,-1.4692305809148065,-0.021494551308591285,-0.006400213137549969
like,-15.55465006228868,0.8676520133614882,-2.8066670328892824,-0.10659109277225919,-0.029753839600682973
sellingim,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
laughing,0.5668886044077085,0.8974722809432761,0.44909187240263365,0.0057779915170609805,0.0010843775037983842
fuckin,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
ass,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
probably,4.382643556233106,0.9045303438268782,1.6831796208218712,0.03237426738586567,0.008383375574309754
yo,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
sell,-9.390551913210809,0.8790538441672306,-2.3408969233548906,-0.06362657934698376,-0.01796279403706816
k,0.0,0.8964236980367682,-0.0,0.001826709031665411,0.0
scare,0.0073914514325857,0.896437370122547,0.007364268520712348,0.0018782283466774713,1.4138798331091102e-05
em,0.6123617272264916,0.897556393304898,0.47770001545378676,0.00609494471095668,0.0011713611387290405
holding,1.16281081519608,0.8985745677752612,0.7714086790662338,0.009931641768341779,0.002224292179041981
til,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
premarket,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
literally,-0.1585389198480304,0.8961304460643766,-0.1471596593609786,0.0007216734878594855,-0.0003032624695980952
trading,0.7313475162543689,0.8977764832194278,0.5489000164455372,0.006924290124749286,0.0013989640785135474
lmaoall,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
price,-8.766228671888468,0.8802086648390453,-2.2789303804675787,-0.05927497046036701,-0.016768552218261845
target,0.8968533287510188,0.8980826219644341,0.6401963704893037,0.008077885757232393,0.0017155532257001514
long,-0.5147699188669197,0.895471519895399,-0.415263558693402,-0.0017612998798076022,-0.0009846818498576557
term,-8.942288149419678,0.8798830048112506,-2.2967971902961013,-0.06050212642107607,-0.017105329029933357
live,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
g,0.0,0.8964236980367682,-0.0,0.001826709031665411,0.0
technology,0.4351933037028097,0.8972286820419878,0.3612995465525981,0.004860059261873291,0.0008324630706452209
contracts,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
secured,0.1417221511019271,0.8966858437633952,0.13253778137049882,0.0028145296530143033,0.000271094375949596
cult,-1.535292927221628,0.8935838421859893,-0.9303091835120225,-0.008874469305868346,-0.002936797633742071
one,21.856994957374596,0.9368529307321025,3.1292571955427175,0.15417262088622932,0.04180933158318652
gives,0.5183695665760188,0.8973825345040023,0.41763710558521294,0.005439807925254785,0.000991567465421272
shit,5.90105458526231,0.9073389729609153,1.9316742383684218,0.04295777684078421,0.011287880531009207
statement,0.4816342723892923,0.8973145846435706,0.39314571665444836,0.0051837584591210946,0.0009212980574603873
rigjt,0.4816342723892923,0.8973145846435706,0.39314571665444836,0.0051837584591210946,0.0009212980574603873
push,2.8384772469144384,0.9016740747394996,1.3450757376700815,0.021611240496440687,0.005429604419043662
blsp,3.75672293793354,0.9033725684613537,1.5595589727296821,0.028011524587535735,0.007186078199886832
lot,-0.8438588116774605,0.8948627989138169,-0.6118605558676169,-0.004055089467726911,-0.0016141822302481134
going,-14.391805225676611,0.869802946029938,-2.733835239586308,-0.09848592290217763,-0.027529482343497138
huge,2.4740528897280853,0.9009999931850468,1.2453218921497944,0.019071158426337262,0.0047325123065960146
following,-0.1863417500377246,0.896079018725279,-0.17087441255609745,0.000527884381642144,-0.0003564453407392971
otc,0.1877280691032652,0.8967709416447767,0.17204229667806908,0.0031351964941005875,0.0003590971725031931
clean,0.1877280691032652,0.8967709416447767,0.17204229667806908,0.0031351964941005875,0.0003590971725031931
energy,2.3606799944427173,0.9007902855297274,1.212143332797613,0.01828093556425009,0.0045156460365174496
talks,2.8181693842741833,0.9016365109615956,1.3397710889800767,0.021469692225153606,0.005390758357884383
completion,0.1877280691032652,0.8967709416447767,0.17204229667806908,0.0031351964941005875,0.0003590971725031931
new,6.752507715400455,0.9089139194160276,2.0480163672064773,0.04889250866303556,0.012916589615442458
plant,2.1727465595374813,0.9004426620533147,1.1545976353288494,0.016971016677210297,0.00415615602836017
netherlands,0.1877280691032652,0.8967709416447767,0.17204229667806908,0.0031351964941005875,0.0003590971725031931
encourage,0.1877280691032652,0.8967709416447767,0.17204229667806908,0.0031351964941005875,0.0003590971725031931
everyone,-2.5417207912065196,0.8917222364902629,-1.2646127082486163,-0.01588939386222357,-0.004861951405427654
isnt,-1.4305923090029893,0.8937775085918956,-0.888134976211504,-0.008144693269164211,-0.0027365201997853633
throw,-2.259393310724918,0.8922444621405381,-1.1815410770550492,-0.013921537002694074,-0.0043218989750949
money,-2.686227061970897,0.8914549409330254,-1.3046034585361668,-0.01689662013606565,-0.005138371407446235
day,49.501898005263214,0.9879881494729544,3.9220109198376814,0.34686095572709025,0.09469011049942287
last,19.00632222965138,0.9315799958537203,2.9960483350838523,0.13430308543769778,0.03635639893892503
time,2.954353794730796,0.9018884134408963,1.3748171984215094,0.022418914121020345,0.00565125982134472
ever,-0.0711547674231285,0.8962920819269076,-0.0687372884233026,0.0013307516529399133,-0.00013610897887471712
cents,1.3212360057835877,0.8988676093808231,0.842099804925017,0.01103588460537659,0.0025273371006938384
per,-0.1336870286831858,0.8961764150044245,-0.1254751783981055,0.0008948941903486535,-0.0002557243263077397
go,-13.06488177683957,0.8722573775282546,-2.6436810364205052,-0.0892371051590013,-0.024991265970838145
nio,22.60653397036454,0.9382393650168475,3.1615235368630747,0.1593969989229729,0.0432430934150278
nkla,-0.0043243489343147,0.8964156992194714,-0.004315025805440109,0.0017965677939124508,-8.27186622995312e-06
tsnp,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
doesnt,-0.5746968619374007,0.895360672071586,-0.4540627851419621,-0.0021789979579072455,-0.001099313593081585
matter,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
know,16.055234299357856,0.9261213213712076,2.8364571536453664,0.11373364382047886,0.030711386253082236
highly,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
skilled,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
unique,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
bring,0.808787742996435,0.8979197256437886,0.5926568656409033,0.007464057919007009,0.0015470962496583172
product,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
full,-0.0553128841115863,0.896321384911512,-0.053837295576681626,0.0014411715054080676,-0.00010580570280377937
launch,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
fun,0.8447791186463327,0.8979862994662199,0.6123595514347355,0.007714922182506039,0.001615942646961158
ride,1.9053646883989737,0.8999480815353682,1.0665589205998234,0.01510733253163513,0.0036446924291067477
jmhocheck,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
youre,2.466527059460474,0.9009860725365904,1.2431532453588277,0.01901870247450958,0.0047181164606111955
another,-1.1131069956826956,0.8943647662471501,-0.7481593742107414,-0.0059317820408577426,-0.0021292158213341342
longterm,0.194318434121917,0.8967831319482198,0.17757567465804205,0.003181132139425068,0.00037170360613491605
hold,6.921144315021994,0.9092258492279869,2.0695356796094435,0.05006792626236699,0.013239167514389135
